i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 933;
i = 1; circleRadius = 20; xCoordinate = 879;
i = 2; circleRadius = 20; xCoordinate = 1411;
i = 3; circleRadius = 20; xCoordinate = 1426;
i = 4; circleRadius = 20; xCoordinate = 426;
i = 5; circleRadius = 20; xCoordinate = 1374;
i = 6; circleRadius = 20; xCoordinate = 670;
i = 7; circleRadius = 20; xCoordinate = 1204;
i = 8; circleRadius = 20; xCoordinate = 639;
i = 9; circleRadius = 20; xCoordinate = 424;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 943;
i = 1; circleRadius = 20; xCoordinate = 877;
i = 2; circleRadius = 20; xCoordinate = 1412;
i = 3; circleRadius = 20; xCoordinate = 1423;
i = 4; circleRadius = 20; xCoordinate = 429;
i = 5; circleRadius = 20; xCoordinate = 1374;
i = 6; circleRadius = 20; xCoordinate = 669;
i = 7; circleRadius = 20; xCoordinate = 1202;
i = 8; circleRadius = 20; xCoordinate = 638;
i = 9; circleRadius = 20; xCoordinate = 426;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 954;
i = 1; circleRadius = 20; xCoordinate = 876;
i = 2; circleRadius = 20; xCoordinate = 1413;
i = 3; circleRadius = 20; xCoordinate = 1421;
i = 4; circleRadius = 20; xCoordinate = 432;
i = 5; circleRadius = 20; xCoordinate = 1375;
i = 6; circleRadius = 20; xCoordinate = 668;
i = 7; circleRadius = 20; xCoordinate = 1200;
i = 8; circleRadius = 20; xCoordinate = 637;
i = 9; circleRadius = 20; xCoordinate = 429;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 966;
i = 1; circleRadius = 20; xCoordinate = 876;
i = 2; circleRadius = 20; xCoordinate = 1413;
i = 3; circleRadius = 20; xCoordinate = 1420;
i = 4; circleRadius = 20; xCoordinate = 435;
i = 5; circleRadius = 20; xCoordinate = 1376;
i = 6; circleRadius = 20; xCoordinate = 667;
i = 7; circleRadius = 20; xCoordinate = 1199;
i = 8; circleRadius = 20; xCoordinate = 635;
i = 9; circleRadius = 20; xCoordinate = 433;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 979;
i = 1; circleRadius = 20; xCoordinate = 875;
i = 2; circleRadius = 20; xCoordinate = 1413;
i = 3; circleRadius = 20; xCoordinate = 1419;
i = 4; circleRadius = 20; xCoordinate = 438;
i = 5; circleRadius = 20; xCoordinate = 1376;
i = 6; circleRadius = 20; xCoordinate = 667;
i = 7; circleRadius = 20; xCoordinate = 1197;
i = 8; circleRadius = 20; xCoordinate = 632;
i = 9; circleRadius = 20; xCoordinate = 437;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
